Manufacturer,Model,Glass Diameter (mm),Image Diameter (mm),Closest Production Size (mm),Undercut (mm),Production Review,Notes
"American DJ","Inno Scan HP","23.8","19","23.7","0.1","",""
"American DJ","Inno Spot ELITE","27","22","26.5","0.5","","1.1mm Maximum Thickness."
"American DJ","Inno Spot LED","23.8","19","23.7","0.1","","Metal gobos only."
"American DJ","Inno Spot PRO","24","20","23.7","0.3","","1.1mm Maximum Thickness."
"American DJ","PinPoint Gobo","25.8","19","25.5","0.3","","1mm Maximum Thickness."
"American DJ","Pinpoint Gobo Projector","25.8","19","25.5","0.3","","Metal gobo."
"American DJ","Pocket Pro","18.4","13","16","2.4","Nearest size is 2.4 mm under the holder","Metal gobos only."
"American DJ","Pocket Pro Pearl","18.4","13","16","2.4","Nearest size is 2.4 mm under the holder",""
"American DJ","Pocket Pro Pearl - High Res Glass Gobo","18.4","13","16","2.4","Nearest size is 2.4 mm under the holder",""
"American DJ","Pro Pearl","24","20","23.7","0.3","",""
"American DJ","Quad Scan Pro","20.5","12","20","0.5","",""
"American DJ","Quick Scan","21.7","17","21.4","0.3","",""
"American DJ","Roto Gobo","26","22","25.5","0.5","",""
"American DJ","Ultra Scan","16","13","16","0","",""
"American DJ","Vizi BSW 300","26.9","18","26.5","0.4","","1.1mm Maximum Thickness."
"American DJ","Vizi CMY300","26.8","20","26.5","0.3","",""
"American DJ","Vizi CMY 16RX","15.8","12","","","No production size at or below 15.8 mm",""
"American DJ","Vizi Hybrid 16RX","12","7","","","No production size at or below 12 mm",""
"American DJ","Vizi Hybrid 16RX - High Res Glass Gobos Only","12","7","","","No production size at or below 12 mm",""
"American DJ","Vizi Scan LED","27","22","26.5","0.5","",""
"American DJ","Vizi Spot 5R","14","8","","","No production size at or below 14 mm",""
"American DJ","Vizi Spot LED Pro","27","25","26.5","0.5","","2mm Maximum Thickness. GoboPlus lists image 22mm - verify."
"American DJ","Vizi Spot Pro","26.6","23.8","26.5","0.1","",""
"American DJ","Whirl","26","20","25.5","0.5","",""
"American DJ","X Move 25R","23.8","19","23.7","0.1","",""
"American DJ","X Scan LED Plus","26.7","22","26.5","0.2","",""
"American DJ","X-Color LED / LED+","22.5","17","22.5","0","",""
"American DJ","X-Move LED 25R","23.8","19","23.7","0.1","","Metal gobos only."
"Amptown","PML","37.5","28","37.5","0","",""
"Anolis","ArcSpot Recessed 170","26.8","22.5","26.5","0.3","",""
"Ansorg","Camera","53.3","40","53.3","0","",""
"Aputure","Mini Zoom","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Aputure","Spotlight","86","64.5","86","0","",""
"Aputure","Spotlight Max","100","75","100","0","",""
"Aputure","Spotlight SE","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Arri","Orbiter Projection Optics","86","64","86","0","","GoboPlus lists image 64.5mm - verify."
"Arri","Pocket Par","66","49","66","0","","GoboPlus lists glass M-65.5mm; image 49.5mm - verify."
"Astera LED","Pluto Projection Lens","37.5","28","37.5","0","",""
"Avance Luz","Graphic","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"AVR","LP50","37.5","28","37.5","0","",""
"Ayrton","Bora","34.3","25","33.8","0.5","","Cannot manufacture - ran to 600ºC"
"Ayrton","Cobra","6.9","4","","","No production size at or below 6.9 mm","Metal gobos only."
"Ayrton","Diablo","25","19","25","0","","Known Users of 25mm: DBN Audile, Production Plus Singapore GoboPlus lists glass 25.5mm; image 20mm - verify."
"Ayrton","Diablo","25.5","19","25.5","0","","Known Users of 25.5mm: Adlib, Sterling Event Group, Ingenius, Focus Productions GoboPlus lists glass 25.5mm; image 20mm - verify."
"Ayrton","Domino","30","25","29.9","0.1","","Glass gobos only. 1.1mm Maximum Thickness."
"Ayrton","Domino LT","30","25","29.9","0.1","","2.2mm Maximum Thickness."
"Ayrton","Domino Profile","30","25","29.9","0.1","","2.2mm Maximum Thickness."
"Ayrton","Domino Wash","30","25","29.9","0.1","","1.1mm Maximum Thickness."
"Ayrton","Eurus","27","22","26.5","0.5","","Glass gobos only. 2.2mm Maximum Thickness."
"Ayrton","Eurus Profile","27","22","26.5","0.5","","1.1mm Maximum Thickness."
"Ayrton","Ghibli","30","22","29.9","0.1","","1.1mm Maximum Thickness."
"Ayrton","Huracan LT","30","25","29.9","0.1","","2.2mm Maximum Thickness."
"Ayrton","Huracan Profile","30","25","29.9","0.1","","2.2mm Maximum Thickness."
"Ayrton","Huracan Wash","30","25","29.9","0.1","","1.1mm Maximum Thickness."
"Ayrton","Huracán-X","30","25","29.9","0.1","","Glass gobos only. 2.2mm Maximum Thickness."
"Ayrton","Karif LT","18","13","16","2","Nearest size is 2 mm under the holder","No glass size available."
"Ayrton","Khamsin","34","24","33.8","0.2","","1.1mm Maximum Thickness."
"Ayrton","Khamsin-S Glass Only","34","24","33.8","0.2","",""
"Ayrton","Levante","25.5","19","25.5","0","","0.5mm Maximum Thickness"
"Ayrton","Mistral","25.5","19","25.5","0","","2.2mm Maximum Thickness (Rotating Wheel). 1.1mm Maximum Thickness (Static). GoboPlus lists image 20mm - verify."
"Ayrton","Perseo","27","22","26.5","0.5","","Glass gobos only. 2.2mm Maximum Thickness."
"Ayrton","Perseo Beam","18","12","16","2","Nearest size is 2 mm under the holder","No glass size available."
"Ayrton","Perseo Profile","27","22","26.5","0.5","","Rotating Wheel Only. 2.2mm Maximum Thickness."
"Ayrton","Rivale","25.5","18","25.5","0","","Glass gobos only."
"Ayrton","Stradale Profile","18","13","16","2","Nearest size is 2 mm under the holder","1.1mm Maximum Thickness."
"Ayrton","Stradale Profile S","17.2","13","16","1.2","Nearest size is 1.2 mm under the holder","1.1mm Maximum Thickness."
"Ayrton","Veloce","30","19","29.9","0.1","","Special Shape Glass."
"Basso","V1 Display / VI","58","38","53.3","4.7","Nearest size is 4.7 mm under the holder",""
"Beamz","Ignite60","19","14","16","3","Nearest size is 3 mm under the holder",""
"Beamz","IGNITE300","26","19","25.5","0.5","",""
"Beamz","Ignite 400","19.58","14","16","3.58","Nearest size is 3.58 mm under the holder",""
"Beamz","LP10","25.8","19","25.5","0.3","",""
"Bega","84967","37.5","28","37.5","0","",""
"Bega","84968","37.5","28","37.5","0","",""
"Bega","84969","66","48","66","0","",""
"Bega","84970","66","48","66","0","",""
"Bega","84971","37.5","28","37.5","0","",""
"Bega","84972","37.5","28","37.5","0","",""
"Bega","84973","66","48","66","0","",""
"Bega","84974","66","48","66","0","",""
"Berkey Colortran","Color Arc","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH28 metal."
"Berkey Colortran","Ellipsoidal","100","75","100","0","","Gobo holder: GH16 metal."
"Berkey Colortran","Ellipsoidal","86","64.5","86","0","","Gobo holder: GH17 metal."
"Berkey Colortran","Mini Ellipse","100","75","100","0","","Gobo holder: GH18 metal / GH20 glass."
"Berkey Colortran","Mini Ellipse","86","64.5","86","0","","Gobo holder: GH19 metal."
"Betopper","BSW200","22","17","21.4","0.6","",""
"Blackhawk","SA022 575W MSR Spot","32","28","31.5","0.5","",""
"Blizzard Lighting","G70","31.9","0","31.5","0.4","","No glass size available. Image area unknown."
"Blizzard Lighting","G-Max150","24.9","0","23.7","1.2","Nearest size is 1.2 mm under the holder","No glass size available. Image area unknown."
"Blizzard Lighting","G-Mix 200","22.9","20","22.5","0.4","","2.2mm Maximum Thickness."
"Blizzard Lighting","Kryo.Mix CMY","9.9","5.5","","","No production size at or below 9.9 mm","No glass size available."
"Blizzard Lighting","Torrent FZ","26.9","24","26.5","0.4","",""
"Blizzard Lighting","Turbo Scan","24.8","17.5","23.7","1.1","Nearest size is 1.1 mm under the holder","No glass size available."
"Blizzard Lighting","Verismo™ Profile RGBALC","86","64.5","86","0","",""
"Bowens","1.5K Spotlight","100","75","100","0","","Gobo holder: Discontinued."
"Bowens","1.5K Spotlight","86","64.5","86","0","","Gobo holder: Discontinued."
"Bowens","1.5K Spotlight","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: Discontinued."
"Bowens","Monospot","100","75","100","0","","Gobo holder: Discontinued."
"Bowens","Monospot","86","64.5","86","0","","Gobo holder: Discontinued."
"Bowens","Monospot","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: Discontinued."
"Bowens","Quad Spotlight","100","75","100","0","","Gobo holder: Discontinued."
"Bowens","Quad Spotlight","86","64.5","86","0","","Gobo holder: Discontinued."
"Bowens","Quad Spotlight","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: Discontinued."
"Bowens","Universal Spot Attachment","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder",""
"Brightlight","Indigo LED 150","27","23","26.5","0.5","",""
"Briteq","BT60 LS","26.8","22","26.5","0.3","",""
"Briteq","BT Beam 60 and 70","23.8","19","23.7","0.1","",""
"Briteq","BT Meteor 100W","22.9","19","22.5","0.4","",""
"Briteq","BT Profile 160","86","48","86","0","",""
"Briteq","BT Profile 250","86","48","86","0","",""
"Briteq","BT Profile Compact","38","25","37.5","0.5","",""
"Briteq","BT Shark","22.9","18","22.5","0.4","",""
"Briteq","BTI-BLIZZARD BSW2","23.2","13.5","22.5","0.7","","Glass gobos only. 1.1mm Maximum Thickness."
"Briteq","BTI-BLIZZARD PROFILE","22.9","19.5","22.5","0.4","","Glass gobos only. 1.1mm Maximum Thickness."
"Briteq","BTX 180LS","26.8","22","26.5","0.3","",""
"Briteq","BTX Saturn","26.8","22","26.5","0.3","",""
"Briteq","BTX Supreme","17","12","16","1","Nearest size is 1 mm under the holder","Glass gobos only."
"Briteq","BTX Titan","15.8","12.5","","","No production size at or below 15.8 mm","Glass gobos only."
"Broncolor","Profile 11/26","100","75","100","0","",""
"Broncolor","Pulsar Spot 4","100","75","100","0","",""
"Broncolor","Pulso Spot 4","100","75","100","0","",""
"Broncolor","Pulso Spot 4","86","64.5","86","0","",""
"Cameo","Auro Spot 200","22.9","19","22.5","0.4","",""
"Cameo","AURO Spot Z300","23","19","22.5","0.5","","Metal gobos only."
"Cameo","AZOR S2","16.5","10.5","16","0.5","","High-temperature glass gobos only."
"Cameo","Evos S3","26.9","22","26.5","0.4","","2.2mm Maximum Thickness."
"Cameo","OPUS SP5 PLUS","22.9","19","22.5","0.4","","High-temperature glass gobos only."
"Cameo","OPUS X4 Profile","30","25","29.9","0.1","","High-temperature glass gobos only."
"Cameo","OPUS X Profile","30","25","29.9","0.1","","High-temperature glass gobos only."
"Cameo","OPUS® H5 Beam Spot Wash Hybrid Moving Head","17","11","16","1","Nearest size is 1 mm under the holder","High-temperature glass gobos only."
"Cameo","OPUS® S5 Beam Spot Wash Hybrid Moving Head","22.9","19","22.5","0.4","","High-temperature glass gobos only."
"Cameo","OPUS® SP5 FC Profile Moving Head","29.9","25","29.9","0","","High-temperature glass gobos only."
"Cameo","OPUS® SP5 Profile Moving Head","22.9","19","22.5","0.4","","High-temperature glass gobos only."
"Cameo","OTOS® H5 Beam Spot Wash Hybrid Moving Head IP65","15.9","12","","","No production size at or below 15.9 mm","Glass gobos only."
"Cameo","OTOS® SP6 (Rotating Wheel)","23","19","22.5","0.5","","Glass gobos only."
"CCT","Freedom","100","75","100","0","","Gobo holder: GH01 metal / GH02 glass."
"CCT","Freedom","86","64.5","86","0","","Gobo holder: GH03 metal / GH38 glass."
"CCT","Helios","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH15 metal / GH55 glass."
"CCT","Minuette","65.5","49.5","53.3","12.2","Nearest size is 12.2 mm under the holder","Gobo holder: GH15 metal / GH55 glass."
"CCT","Project","100","75","100","0","","Gobo holder: GH01 metal / GH02 glass."
"CCT","Project","86","64.5","86","0","","Gobo holder: GH03 metal / GH38 glass."
"CCT","Silhouette","100","75","100","0","","Gobo holder: GH01 metal / GH02 glass."
"CCT","Silhouette","86","64.5","86","0","","Gobo holder: GH03 metal / GH38 glass."
"Chauvet","Blazor","18.5","10","16","2.5","Nearest size is 2.5 mm under the holder","0.27mm Maximum Thickness."
"Chauvet","DJ Gobo Shot","36","21","35.3","0.7","",""
"Chauvet","DMX 690","23.7","17.5","23.7","0","","Monochrome glass gobos only."
"Chauvet","DMX 5000 Moving Head","31","21","30.8","0.2","",""
"Chauvet","EVE E-50Z","53.3","43","53.3","0","","2mm Maximum Thickness. GoboPlus lists image 40mm - verify."
"Chauvet","EVE E-100Z","66","48","66","0","","2mm Maximum Thickness. GoboPlus lists glass M-65.5mm/2mm Maximum Thickness; image 45mm - verify."
"Chauvet","EZGobo","25.8","18.6","25.5","0.3","",""
"Chauvet","EZGobo glass","25.8","17","25.5","0.3","",""
"Chauvet","EZGobo metal","25.8","18","25.5","0.3","",""
"Chauvet","Followspot 75ST","23.7","20","23.7","0","",""
"Chauvet","Followspot 400G TFX-FS360","35.8","27.8","35.3","0.5","",""
"Chauvet","Freedom Gobo IP","37.5","24","37.5","0","","1.0mm Maximum Thickness."
"Chauvet","Freedom IP","37.5","24","37.5","0","",""
"Chauvet","Gobo Shot 50W IRC","53","40","50","3","Nearest size is 3 mm under the holder",""
"Chauvet","Gobo Shot IRC","53.3","40","53.3","0","",""
"Chauvet","Gobo Zoom 2","37.5","22","37.5","0","",""
"Chauvet","Gobo Zoom LED","28.8","24.3","27.8","1","Nearest size is 1 mm under the holder",""
"Chauvet","Gobo Zoom LED 2.0","28.6","26","27.8","0.8","","1mm Maximum Thickness."
"Chauvet","Gobo Zoom LED, LED 2","28.6","20","27.8","0.8","","Gobo holder: Gobo clips mask image reduce to 20mm / Dichroic glass max 20mm."
"Chauvet","Gobo Zoom USB","25.7","19.3","25.5","0.2","","GoboPlus lists image 17mm - verify."
"Chauvet","ILS 515DMR","26.8","21","26.5","0.3","",""
"Chauvet","ILS 515M","27","19","26.5","0.5","",""
"Chauvet","ILS 606DBR","27","19","26.5","0.5","",""
"Chauvet","ILS 606DSR","27","19","26.5","0.5","",""
"Chauvet","ILS 625DCR","27","19","26.5","0.5","",""
"Chauvet","Intimidator 360X IP","24","20","23.7","0.3","",""
"Chauvet","Intimidator Barrel 300 LED, 305 IRC","23.8","20","23.7","0.1","",""
"Chauvet","Intimidator Barrel 305 IRC","23.9","20.5","23.7","0.2","",""
"Chauvet","Intimidator Barrel LED 300","23.8","20.9","23.7","0.1","",""
"Chauvet","Intimidator Hybrid 140SR","13.7","11","","","No production size at or below 13.7 mm","1mm Maximum Thickness."
"Chauvet","Intimidator Scan 300 LED, 305 IRC","23.8","20","23.7","0.1","",""
"Chauvet","Intimidator Scan 305 IRC","23.9","20.5","23.7","0.2","",""
"Chauvet","Intimidator Scan 360","19.75","14","16","3.75","Nearest size is 3.75 mm under the holder",""
"Chauvet","Intimidator Scan LED 300","23.8","20.9","23.7","0.1","",""
"Chauvet","Intimidator Spot 2.0 HTI","23.5","17.5","22.5","1","Nearest size is 1 mm under the holder",""
"Chauvet","Intimidator Spot 60 ILS","24","20","23.7","0.3","","1.1mm Maximum Thickness."
"Chauvet","Intimidator Spot 250","26.7","24.5","26.5","0.2","","2.5mm Maximum Thickness. GoboPlus lists image 22mm - verify."
"Chauvet","Intimidator Spot 255","24","20","23.7","0.3","","1.1mm Maximum Thickness."
"Chauvet","Intimidator Spot 260","24","20","23.7","0.3","","1.1mm Maximum Thickness."
"Chauvet","Intimidator Spot 260X","24","20","23.7","0.3","","1.1mm Maximum Thickness."
"Chauvet","Intimidator Spot 355/355Z","24","20","23.7","0.3","","1.1mm Maximum Thickness."
"Chauvet","Intimidator Spot 360","24","20","23.7","0.3","","1.1mm Maximum Thickness."
"Chauvet","Intimidator Spot 360X","24","20","23.7","0.3","","Glass gobos only. 1.1mm Maximum Thickness."
"Chauvet","Intimidator Spot 375Z","24","20","23.7","0.3","","1.1mm Maximum Thickness."
"Chauvet","Intimidator Spot 375Z IRC","24","20","23.7","0.3","",""
"Chauvet","Intimidator Spot 375ZX","24","19","23.7","0.3","","Glass gobos only. 1.1mm Maximum Thickness."
"Chauvet","Intimidator Spot 400 IRC","26.7","23","26.5","0.2","","1mm Maximum Thickness."
"Chauvet","Intimidator Spot 450 LED","26.75","23","26.5","0.25","",""
"Chauvet","Intimidator Spot 455 IRC","25.9","20","25.5","0.4","",""
"Chauvet","Intimidator Spot 455Z","25.9","21","25.5","0.4","","1mm Maximum Thickness."
"Chauvet","Intimidator Spot 475 IRC","25.7","21","25.5","0.2","",""
"Chauvet","Intimidator Spot 475Z","25.7","21","25.5","0.2","","1.3mm Maximum Thickness."
"Chauvet","Intimidator Spot 475ZX","25.7","21","25.5","0.2","","Glass gobos only. 1.3mm Maximum Thickness."
"Chauvet","Intimidator Spot LED 250","24","20","23.7","0.3","",""
"Chauvet","Intimidator Spot LED 250, 255 IRC, 350, 355Z, 355 IRC","24","19","23.7","0.3","",""
"Chauvet","Intimidator Spot LED 350","24","20","23.7","0.3","",""
"Chauvet","Intimidator Spot LED 450","26.75","23","26.5","0.25","","3mm Maximum Thickness."
"Chauvet","Intimidator Spot XYZ","23.8","20","23.7","0.1","",""
"Chauvet","Intimidator Spro 400 IRC","26.7","23","26.5","0.2","",""
"Chauvet","LED Followspot 75ST","23.7","21.3","23.7","0","",""
"Chauvet","Legend 150 R","26.5","21","26.5","0","",""
"Chauvet","Legend 250 RX","26.5","19","26.5","0","",""
"Chauvet","Legend 300E Spot","26.8","23.9","26.5","0.3","",""
"Chauvet","Legend 330SR Spot","17.8","14","16","1.8","Nearest size is 1.8 mm under the holder","1.3mm Maximum Thickness. GoboPlus lists image 11mm - verify."
"Chauvet","Legend 550","26.7","22","26.5","0.2","",""
"Chauvet","Legend 1200E Spot","37.3","30","35.3","2","Nearest size is 2 mm under the holder",""
"Chauvet","Legend 2000","31","20","30.8","0.2","",""
"Chauvet","Legend 3000","31","24","30.8","0.2","",""
"Chauvet","Legend 3000X","29","24","27.8","1.2","Nearest size is 1.2 mm under the holder","Needs Chauvet gobo holder (Cannot Supply)."
"Chauvet","Legend 5000","29","24","27.8","1.2","Nearest size is 1.2 mm under the holder","Needs Chauvet gobo holder (Cannot Supply)."
"Chauvet","Legend 5000X","29","24","27.8","1.2","Nearest size is 1.2 mm under the holder","Needs Chauvet gobo holder (Cannot Supply). GoboPlus lists glass 31mm - verify."
"Chauvet","LFS 5, 5D","25.4","18","25","0.4","",""
"Chauvet","LFS-5D","25.4","19","25","0.4","","1mm Maximum Thickness."
"Chauvet","LFS-75DMX","40","18","37.5","2.5","Nearest size is 2.5 mm under the holder","1mm Maximum Thickness."
"Chauvet","Maverick Force 1 Spot","25.5","20","25.5","0","","1.1mm Maximum Thickness."
"Chauvet","Maverick Force 2 Profile - Glass Gobos Only","25.5","20","25.5","0","",""
"Chauvet","Maverick Force 2 Profile - Glass Gobos Only","25.5","18.5","25.5","0","",""
